date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:48	15331/15331	---M--	200	added ('OK')	image/jpeg	etag:%223be3-56eb1fdb-3a4a20a1e130a13f;;;%22	https://www.sobczak.com.pl/img/produkcja02.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja02.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:48	15722/15722	---M--	200	added ('OK')	image/jpeg	etag:%223d6a-56eb1fdb-9a22b144efceb3a9;;;%22	https://www.sobczak.com.pl/img/produkcja03.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja03.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:48	11141/11141	---M--	200	added ('OK')	image/jpeg	etag:%222b85-56eb1fdc-a71cf70cc7a787dc;;;%22	https://www.sobczak.com.pl/img/produkcja04.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja04.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:49	11356/11356	---M--	200	added ('OK')	image/jpeg	etag:%222c5c-56eb1fdc-1cb938359c28d91e;;;%22	https://www.sobczak.com.pl/img/produkcja05.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja05.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:49	8707/8707	---M--	200	added ('OK')	image/jpeg	etag:%222203-56eb1fdc-c37050a93df7d103;;;%22	https://www.sobczak.com.pl/img/produkcja06.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja06.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:49	13172/13172	---M--	200	added ('OK')	image/jpeg	etag:%223374-56eb1fdc-3fe3d1ba2f1014ee;;;%22	https://www.sobczak.com.pl/img/produkcja07.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja07.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:49	20340/20340	---M--	200	added ('OK')	image/jpeg	etag:%224f74-56eb1fdc-9363405dbf85e49a;;;%22	https://www.sobczak.com.pl/img/produkcja08.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja08.jpg	(from https://www.sobczak.com.pl/o-nas)
13:09:50	6546/6546	---M--	200	added ('OK')	image/png	etag:%221992-56eefd5b-cd1f68dabd2a539;;;%22	https://www.sobczak.com.pl/img/drawing-location.png	D:/website/schody/www.sobczak.com.pl/img/drawing-location.png	(from https://www.sobczak.com.pl/o-nas)
13:09:50	13371/13371	---M--	200	added ('OK')	image/png	etag:%22343b-56eefd5b-7434c13b37338a6b;;;%22	https://www.sobczak.com.pl/img/drawing-project.png	D:/website/schody/www.sobczak.com.pl/img/drawing-project.png	(from https://www.sobczak.com.pl/o-nas)
13:09:50	16428/16428	---M--	200	added ('OK')	image/png	etag:%22402c-56eefd5c-8184fb4af3eaf5ab;;;%22	https://www.sobczak.com.pl/img/drawing-success.png	D:/website/schody/www.sobczak.com.pl/img/drawing-success.png	(from https://www.sobczak.com.pl/o-nas)
13:09:50	3297/3297	---M--	200	added ('OK')	image/png	etag:%22ce1-56eb1fc4-79b9a0ae233a4b4e;;;%22	https://www.sobczak.com.pl/img/Germany.png	D:/website/schody/www.sobczak.com.pl/img/Germany.png	(from https://www.sobczak.com.pl/o-nas)
13:09:50	3654/3654	---M--	200	added ('OK')	image/png	etag:%22e46-56eb1fc4-86520c23a3c00799;;;%22	https://www.sobczak.com.pl/img/Denmark.png	D:/website/schody/www.sobczak.com.pl/img/Denmark.png	(from https://www.sobczak.com.pl/o-nas)
13:09:51	43563/43563	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Apr%202024%2012:09:43%20GMT	https://www.sobczak.com.pl/realizacje/schody-na-beton	D:/website/schody/www.sobczak.com.pl/realizacje/schody-na-beton.html	(from https://www.sobczak.com.pl/realizacje)
13:09:51	15205/15205	---M--	200	added ('OK')	image/jpeg	etag:%223b65-56eb1fc4-961519a4f13bbeab;;;%22	https://www.sobczak.com.pl/img/beton-mini.jpg	D:/website/schody/www.sobczak.com.pl/img/beton-mini.jpg	(from https://www.sobczak.com.pl/realizacje)
13:09:51	43960/43960	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Apr%202024%2012:09:43%20GMT	https://www.sobczak.com.pl/realizacje/schody-samonosne	D:/website/schody/www.sobczak.com.pl/realizacje/schody-samonosne.html	(from https://www.sobczak.com.pl/realizacje)
13:09:51	13508/13508	---M--	200	added ('OK')	image/jpeg	etag:%2234c4-56eb1fdd-bbfd178fdfe3b945;;;%22	https://www.sobczak.com.pl/img/samonosne-mini.jpg	D:/website/schody/www.sobczak.com.pl/img/samonosne-mini.jpg	(from https://www.sobczak.com.pl/realizacje)
